Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,983919101,XLNX ,"3,050,454","419,620,452.24",0.264,Xilinx Inc,Common Stock,Information Technology,02/18/2021
QQQ,03662Q105,ANSS ,"1,068,850","416,648,418.50",0.262,ANSYS Inc,Common Stock,Information Technology,02/18/2021
QQQ,67103H107,ORLY ,"901,594","413,398,880.88",0.260,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,693718108,PCAR ,"4,311,245","408,921,588.25",0.257,PACCAR Inc,Common Stock,Industrials,02/18/2021
QQQ,704326107,PAYX ,"4,473,764","408,365,177.92",0.256,Paychex Inc,Common Stock,Information Technology,02/18/2021
QQQ,98389B100,XEL ,"6,539,100","407,385,930.00",0.256,Xcel Energy Inc,Common Stock,Utilities,02/18/2021
QQQ,92345Y106,VRSK ,"2,023,365","388,526,547.30",0.244,Verisk Analytics Inc,Common Stock,Industrials,02/18/2021
QQQ,83088M102,SWKS ,"2,066,728","388,358,858.48",0.244,Skyworks Solutions Inc,Common Stock,Information Technology,02/18/2021
QQQ,81181C104,SGEN ,"2,243,840","355,917,900.80",0.224,Seagen Inc,Common Stock,Health Care,02/18/2021
QQQ,217204106,CPRT ,"2,938,634","349,021,560.18",0.219,Copart Inc,Common Stock,Industrials,02/18/2021
QQQ,311900104,FAST ,"7,143,859","337,833,092.11",0.212,Fastenal Co,Common Stock,Industrials,02/18/2021
QQQ,848637104,SPLK ,"1,996,057","332,642,899.05",0.209,Splunk Inc,Common Stock,Information Technology,02/18/2021
QQQ,82968B103,SIRI ,"52,883,294","318,357,429.88",0.200,Sirius XM Holdings Inc,Common Stock,Communication Services,02/18/2021
QQQ,256746108,DLTR ,"2,926,899","315,402,636.24",0.198,Dollar Tree Inc,Common Stock,Consumer Discretionary,02/18/2021
QQQ,57772K101,MXIM ,"3,326,442","314,614,884.36",0.198,Maxim Integrated Products Inc,Common Stock,Information Technology,02/18/2021
QQQ,92343E102,VRSN ,"1,420,062","285,560,267.58",0.179,VeriSign Inc,Common Stock,Information Technology,02/18/2021
QQQ,12514G108,CDW ,"1,779,376","278,739,250.40",0.175,CDW Corp/DE,Common Stock,Information Technology,02/18/2021
QQQ,156782104,CERN ,"3,815,373","276,767,157.42",0.174,Cerner Corp,Common Stock,Health Care,02/18/2021
QQQ,89677Q107,TCOM ,"6,508,206","247,246,745.94",0.155,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,02/18/2021
QQQ,45337C102,INCY ,"2,725,343","222,251,721.65",0.140,Incyte Corp,Common Stock,Health Care,02/18/2021
QQQ,M22465104,CHKP ,"1,744,727","203,156,011.88",0.128,Check Point Software Technologies Ltd,Common Stock,Information Technology,02/18/2021
QQQ,35137L105,FOXA ,"4,200,597","135,154,208.47",0.085,Fox Corp,Common Stock,Communication Services,02/18/2021
QQQ,35137L204,FOX ,"3,208,555","99,657,718.30",0.063,Fox Corp,Common Stock,Communication Services,02/18/2021
